Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
14.131,14.184,14.757,14.660,,,,,,,,,
13.733,14.230,14.258,14.481,,,,,,,,,
13.505,14.150,13.822,14.081,,,,,,,,,
13.418,14.119,13.718,13.789,,,,,,,,,
13.352,13.316,13.522,13.913,,,,,,,,,
13.318,13.393,13.634,13.883,,,,,,,,,
13.307,13.266,13.586,13.811,,,,,,,,,
13.256,13.213,13.573,13.767,,,,,,,,,
13.084,13.118,13.357,13.855,,,,,,,,,
13.097,13.069,13.255,13.865,,,,,,,,,
13.057,13.073,13.255,13.848,,,,,,,,,
13.064,13.031,13.245,13.923,,,,,,,,,
13.057,13.017,13.323,,,,,,,,,,
13.051,12.973,13.296,,,,,,,,,,
13.113,12.961,13.289,,,,,,,,,,
13.047,12.935,13.284,,,,,,,,,,
13.023,12.922,13.263,,,,,,,,,,
12.964,12.909,13.160,,,,,,,,,,
13.019,12.863,13.120,,,,,,,,,,
12.990,12.848,13.321,,,,,,,,,,
12.978,12.839,13.318,,,,,,,,,,
12.946,12.915,13.306,,,,,,,,,,
12.845,13.113,13.151,,,,,,,,,,
13.076,13.066,13.112,,,,,,,,,,
13.032,13.022,13.409,,,,,,,,,,
12.983,12.996,13.555,,,,,,,,,,
12.969,13.272,14.383,,,,,,,,,,
12.950,13.424,14.622,,,,,,,,,,
13.317,13.606,,,,,,,,,,,
13.652,14.461,,,,,,,,,,,
14.139,14.606,,,,,,,,,,,
