Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
18.602,18.567,19.240,19.033,,,,,,,,,
17.942,18.602,18.800,18.795,,,,,,,,,
18.062,18.523,18.359,18.388,,,,,,,,,
17.978,18.491,18.259,18.091,,,,,,,,,
17.896,17.674,18.059,18.170,,,,,,,,,
17.863,17.845,18.184,18.147,,,,,,,,,
17.853,17.723,18.135,18.076,,,,,,,,,
17.786,17.658,18.121,18.031,,,,,,,,,
17.621,17.573,17.897,18.043,,,,,,,,,
17.633,17.522,17.779,18.051,,,,,,,,,
17.559,17.526,17.575,18.014,,,,,,,,,
17.596,17.523,17.563,18.098,,,,,,,,,
17.588,17.480,17.592,,,,,,,,,,
17.583,17.436,17.564,,,,,,,,,,
17.565,17.393,17.557,,,,,,,,,,
17.497,17.367,17.553,,,,,,,,,,
17.459,17.353,17.533,,,,,,,,,,
17.428,17.336,17.459,,,,,,,,,,
17.485,17.326,17.418,,,,,,,,,,
17.457,17.351,17.672,,,,,,,,,,
17.444,17.344,17.669,,,,,,,,,,
17.395,17.423,17.656,,,,,,,,,,
17.281,17.615,17.507,,,,,,,,,,
17.504,17.567,17.461,,,,,,,,,,
17.459,17.521,17.842,,,,,,,,,,
17.409,17.490,17.973,,,,,,,,,,
17.395,17.781,18.757,,,,,,,,,,
17.375,17.927,18.994,,,,,,,,,,
17.696,18.114,,,,,,,,,,,
18.033,18.944,,,,,,,,,,,
18.522,19.089,,,,,,,,,,,
