Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
591,589,525,531,,,,,,,,,
550,545,500,549,,,,,,,,,
562,553,504,546,,,,,,,,,
574,560,511,523,,,,,,,,,
543,560,579,513,,,,,,,,,
553,571,509,523,,,,,,,,,
565,576,509,523,,,,,,,,,
577,581,514,528,,,,,,,,,
542,546,524,533,,,,,,,,,
526,554,520,528,,,,,,,,,
530,564,521,538,,,,,,,,,
531,578,526,538,,,,,,,,,
541,553,522,,,,,,,,,,
553,548,520,,,,,,,,,,
564,528,522,,,,,,,,,,
568,535,527,,,,,,,,,,
560,546,534,,,,,,,,,,
567,556,564,,,,,,,,,,
586,518,535,,,,,,,,,,
598,514,535,,,,,,,,,,
608,517,538,,,,,,,,,,
590,505,543,,,,,,,,,,
568,512,547,,,,,,,,,,
568,512,555,,,,,,,,,,
568,514,539,,,,,,,,,,
610,518,542,,,,,,,,,,
610,523,529,,,,,,,,,,
621,513,540,,,,,,,,,,
571,533,,,,,,,,,,,
583,518,,,,,,,,,,,
584,530,,,,,,,,,,,
