Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1349,1306,1262,1247,,,,,,,,,
1306,1262,1235,1264,,,,,,,,,
1315,1270,1240,1262,,,,,,,,,
1325,1277,1247,1239,,,,,,,,,
1293,1277,1312,1229,,,,,,,,,
1303,1304,1243,1239,,,,,,,,,
1315,1311,1243,1239,,,,,,,,,
1326,1316,1248,1245,,,,,,,,,
1291,1280,1256,1249,,,,,,,,,
1279,1288,1253,1243,,,,,,,,,
1276,1298,1253,1253,,,,,,,,,
1277,1312,1243,1253,,,,,,,,,
1286,1285,1245,,,,,,,,,,
1298,1279,1243,,,,,,,,,,
1310,1260,1245,,,,,,,,,,
1317,1266,1249,,,,,,,,,,
1307,1277,1256,,,,,,,,,,
1312,1287,1285,,,,,,,,,,
1330,1254,1250,,,,,,,,,,
1342,1246,1250,,,,,,,,,,
1352,1252,1253,,,,,,,,,,
1334,1240,1258,,,,,,,,,,
1312,1247,1262,,,,,,,,,,
1312,1247,1267,,,,,,,,,,
1312,1249,1252,,,,,,,,,,
1337,1254,1255,,,,,,,,,,
1337,1263,1247,,,,,,,,,,
1347,1252,1257,,,,,,,,,,
1288,1270,,,,,,,,,,,
1301,1254,,,,,,,,,,,
1301,1267,,,,,,,,,,,
