Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
39.383,39.881,40.111,39.884,,,,,,,,,
38.915,39.628,39.429,39.625,,,,,,,,,
38.665,39.459,38.849,39.150,,,,,,,,,
38.586,39.335,38.695,38.781,,,,,,,,,
38.549,38.522,38.570,39.113,,,,,,,,,
38.467,38.551,38.931,39.279,,,,,,,,,
38.393,38.351,38.749,39.205,,,,,,,,,
38.349,38.300,38.615,39.053,,,,,,,,,
38.089,38.264,38.411,39.177,,,,,,,,,
38.139,38.130,38.294,39.263,,,,,,,,,
38.099,38.061,38.638,39.249,,,,,,,,,
38.164,38.031,38.433,39.367,,,,,,,,,
38.102,37.943,38.459,39.547,,,,,,,,,
38.038,37.899,38.377,,,,,,,,,,
38.342,37.894,38.232,,,,,,,,,,
38.230,37.741,38.081,,,,,,,,,,
38.211,37.687,37.951,,,,,,,,,,
38.133,37.605,37.840,,,,,,,,,,
38.285,37.547,37.786,,,,,,,,,,
38.169,37.425,37.953,,,,,,,,,,
38.084,36.832,37.894,,,,,,,,,,
38.052,37.449,37.800,,,,,,,,,,
37.973,37.920,37.648,,,,,,,,,,
38.362,37.823,37.606,,,,,,,,,,
38.139,37.585,37.895,,,,,,,,,,
38.041,37.597,38.123,,,,,,,,,,
38.027,37.936,39.235,,,,,,,,,,
37.989,38.150,39.683,,,,,,,,,,
38.317,38.387,,,,,,,,,,,
38.918,39.489,,,,,,,,,,,
39.698,39.823,,,,,,,,,,,
