Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
47.030,40.447,46.762,39.374,,,,,,,,,
47.030,42.030,47.219,38.889,,,,,,,,,
46.340,40.815,37.520,39.027,,,,,,,,,
45.953,40.756,38.006,39.109,,,,,,,,,
46.212,40.515,39.219,49.354,,,,,,,,,
46.085,41.607,38.805,49.565,,,,,,,,,
46.044,42.535,39.035,49.794,,,,,,,,,
46.554,43.144,38.604,49.672,,,,,,,,,
45.959,44.166,39.024,49.695,,,,,,,,,
45.612,43.941,38.088,34.783,,,,,,,,,
36.225,44.154,38.119,35.768,,,,,,,,,
36.899,45.376,28.135,34.812,,,,,,,,,
36.880,46.486,27.919,36.951,,,,,,,,,
36.759,41.772,28.027,,,,,,,,,,
32.516,44.953,27.907,,,,,,,,,,
32.758,45.815,28.046,,,,,,,,,,
32.119,47.177,28.267,,,,,,,,,,
33.619,47.099,27.905,,,,,,,,,,
34.282,47.000,28.516,,,,,,,,,,
33.976,46.645,28.643,,,,,,,,,,
33.800,45.235,28.432,,,,,,,,,,
35.867,45.024,28.359,,,,,,,,,,
33.528,45.315,27.261,,,,,,,,,,
54.124,44.990,27.015,,,,,,,,,,
53.959,44.924,27.618,,,,,,,,,,
53.889,45.275,38.040,,,,,,,,,,
53.693,45.128,38.771,,,,,,,,,,
53.693,45.249,50.822,,,,,,,,,,
43.401,58.168,,,,,,,,,,,
43.901,49.784,,,,,,,,,,,
42.087,47.301,,,,,,,,,,,
