Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
25.755,26.141,25.895,25.672,,,,,,,,,
25.755,26.015,25.810,25.628,,,,,,,,,
25.859,25.929,25.708,25.575,,,,,,,,,
25.870,25.841,25.666,25.545,,,,,,,,,
25.919,25.801,25.667,25.739,,,,,,,,,
25.862,25.763,25.960,25.916,,,,,,,,,
25.789,25.725,25.827,25.925,,,,,,,,,
25.798,25.728,25.706,25.822,,,,,,,,,
25.756,25.814,25.707,25.841,,,,,,,,,
25.800,25.727,25.699,25.916,,,,,,,,,
25.783,25.650,26.051,25.897,,,,,,,,,
25.825,25.649,25.836,25.939,,,,,,,,,
25.766,25.592,25.761,26.082,,,,,,,,,
25.705,25.600,25.721,,,,,,,,,,
25.903,25.616,25.591,,,,,,,,,,
25.854,25.489,25.448,,,,,,,,,,
25.863,25.441,25.338,,,,,,,,,,
25.833,25.362,25.283,,,,,,,,,,
25.896,25.374,25.293,,,,,,,,,,
25.809,25.290,25.239,,,,,,,,,,
25.732,25.256,25.196,,,,,,,,,,
25.748,25.264,25.113,,,,,,,,,,
25.789,25.469,25.123,,,,,,,,,,
25.891,25.434,25.098,,,,,,,,,,
25.703,25.308,25.101,,,,,,,,,,
25.652,25.283,25.141,,,,,,,,,,
25.645,25.325,25.333,,,,,,,,,,
25.615,25.394,24.896,,,,,,,,,,
25.633,25.436,,,,,,,,,,,
25.784,24.843,,,,,,,,,,,
26.023,25.766,,,,,,,,,,,
