Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
14.131,14.184,14.757,,,15.030,,14.955,15.746,,,,
13.733,14.230,14.258,14.481,14.595,14.656,15.092,14.518,15.676,,,,
13.505,14.150,13.822,14.081,14.526,14.916,14.639,14.441,15.204,,,,
13.418,14.119,13.718,13.789,14.476,14.737,14.587,14.392,14.991,,,,
13.352,13.316,13.522,13.913,14.410,14.387,14.525,17.129,15.001,,,,
13.318,13.393,13.634,13.883,14.365,14.185,14.460,14.201,14.829,,,,
13.307,13.266,13.586,13.811,14.142,14.174,14.421,13.974,15.045,,,,
13.256,13.213,13.573,13.767,14.043,14.250,14.181,13.851,15.007,,,,
13.084,13.118,13.357,13.855,14.049,14.192,14.101,13.870,14.987,,,,
13.097,13.069,13.255,13.865,14.110,14.204,14.069,14.019,14.870,,,,
13.057,13.073,13.255,13.848,14.094,14.105,14.080,13.974,14.965,,,,
13.064,13.031,13.245,13.923,14.111,14.052,14.482,13.967,14.940,,,,
13.057,13.017,13.323,13.933,14.135,14.050,14.426,13.798,15.007,,,,
13.051,12.973,13.296,13.955,14.015,14.021,14.402,13.688,15.294,,,,
13.113,12.961,13.289,13.955,13.970,13.995,14.055,13.720,,,,,
13.047,12.935,13.284,13.923,14.017,13.998,14.011,13.733,,,,,
13.023,12.922,13.263,14.278,14.036,14.003,13.993,13.880,,,,,
12.964,12.909,13.160,14.220,14.119,13.796,14.573,13.834,,,,,
13.019,12.863,13.120,14.271,14.111,13.848,14.650,13.830,,,,,
12.990,12.848,13.321,14.181,14.069,13.828,14.563,13.854,,,,,
12.978,12.839,13.318,14.172,13.878,13.967,14.549,13.814,,,,,
12.946,12.915,13.306,14.165,13.868,14.348,14.319,14.074,,,,,
12.845,13.113,13.151,14.286,13.676,14.332,14.278,14.071,,,,,
13.076,13.066,13.112,14.280,13.978,14.313,14.416,14.565,,,,,
13.032,13.022,13.409,14.372,13.947,14.168,14.749,14.492,,,,,
12.983,12.996,13.555,14.388,13.931,14.282,14.710,14.468,,,,,
12.969,13.272,14.383,14.456,14.023,14.263,14.666,14.520,,,,,
12.950,13.424,14.622,14.439,14.157,14.215,14.676,14.388,,,,,
13.317,13.606,,14.435,14.424,14.567,14.800,14.766,,,,,
13.652,14.461,,14.581,14.877,14.616,15.250,15.048,,,,,
14.139,14.606,,15.300,,14.894,,15.799,,,,,
