Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
4.471,4.383,4.483,,,4.397,,5.267,6.231,,,,
4.209,4.372,4.542,4.314,4.281,4.555,4.236,5.338,6.231,,,,
4.557,4.373,4.537,4.307,4.280,4.394,4.213,5.432,6.214,,,,
4.560,4.372,4.541,4.302,4.280,4.383,4.205,5.430,6.316,,,,
4.544,4.358,4.537,4.257,4.281,4.394,4.180,6.160,6.322,,,,
4.545,4.452,4.550,4.264,4.244,4.404,4.181,5.434,6.424,,,,
4.546,4.457,4.549,4.265,4.309,4.399,4.183,5.606,6.446,,,,
4.530,4.445,4.548,4.264,4.319,4.500,4.185,5.719,6.445,,,,
4.537,4.455,4.540,4.188,4.416,4.499,4.187,5.841,6.444,,,,
4.536,4.453,4.524,4.186,4.414,4.501,4.182,5.880,6.453,,,,
4.502,4.453,4.320,4.166,4.414,4.498,4.184,5.878,6.438,,,,
4.532,4.492,4.318,4.175,4.412,4.492,4.184,5.878,6.430,,,,
4.531,4.463,4.269,4.165,4.411,4.491,4.185,6.045,6.541,,,,
4.532,4.463,4.268,4.165,4.411,4.490,4.185,6.122,6.582,,,,
4.452,4.432,4.268,4.165,4.510,4.490,4.193,6.222,,,,,
4.450,4.432,4.269,4.163,4.509,4.493,4.192,6.322,,,,,
4.436,4.431,4.270,4.344,4.498,4.493,4.192,6.417,,,,,
4.464,4.427,4.299,4.344,4.498,4.405,4.189,6.417,,,,,
4.466,4.463,4.298,4.343,4.497,4.345,4.322,6.416,,,,,
4.467,4.503,4.351,3.981,4.477,4.334,4.322,6.428,,,,,
4.466,4.505,4.351,3.982,4.476,4.328,4.322,6.489,,,,,
4.449,4.508,4.350,3.980,4.410,4.296,4.323,6.599,,,,,
4.436,4.502,4.356,4.343,4.414,4.296,4.377,6.609,,,,,
4.428,4.501,4.349,4.343,4.420,4.297,4.379,6.485,,,,,
4.427,4.499,4.433,4.194,4.420,4.292,4.649,6.485,,,,,
4.426,4.494,4.418,4.195,4.419,4.280,4.725,6.483,,,,,
4.426,4.509,4.374,4.201,4.406,4.279,4.724,6.491,,,,,
4.425,4.503,4.372,4.202,4.373,4.280,4.723,6.674,,,,,
4.379,4.508,,4.202,4.400,4.277,4.843,6.426,,,,,
4.381,4.483,,4.212,4.400,4.275,5.192,6.410,,,,,
4.383,4.483,,4.286,,4.276,,6.194,,,,,
