Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
18.602,18.567,19.240,,,19.427,,20.222,21.977,,,,
17.942,18.602,18.800,18.795,18.876,19.211,19.328,19.856,21.907,,,,
18.062,18.523,18.359,18.388,18.806,19.310,18.852,19.873,21.418,,,,
17.978,18.491,18.259,18.091,18.756,19.120,18.792,19.822,21.307,,,,
17.896,17.674,18.059,18.170,18.691,18.781,18.705,23.289,21.323,,,,
17.863,17.845,18.184,18.147,18.609,18.589,18.641,19.635,21.253,,,,
17.853,17.723,18.135,18.076,18.451,18.573,18.604,19.580,21.491,,,,
17.786,17.658,18.121,18.031,18.362,18.750,18.366,19.570,21.452,,,,
17.621,17.573,17.897,18.043,18.465,18.691,18.288,19.711,21.431,,,,
17.633,17.522,17.779,18.051,18.524,18.705,18.251,19.899,21.323,,,,
17.559,17.526,17.575,18.014,18.508,18.603,18.264,19.852,21.403,,,,
17.596,17.523,17.563,18.098,18.523,18.544,18.666,19.845,21.370,,,,
17.588,17.480,17.592,18.098,18.546,18.541,18.611,19.843,21.548,,,,
17.583,17.436,17.564,18.120,18.426,18.511,18.587,19.810,21.876,,,,
17.565,17.393,17.557,18.120,18.480,18.485,18.248,19.942,,,,,
17.497,17.367,17.553,18.086,18.526,18.491,18.203,20.055,,,,,
17.459,17.353,17.533,18.622,18.534,18.496,18.185,20.297,,,,,
17.428,17.336,17.459,18.564,18.617,18.201,18.762,20.251,,,,,
17.485,17.326,17.418,18.614,18.608,18.193,18.972,20.246,,,,,
17.457,17.351,17.672,18.162,18.546,18.162,18.885,20.282,,,,,
17.444,17.344,17.669,18.154,18.354,18.295,18.871,20.303,,,,,
17.395,17.423,17.656,18.145,18.278,18.644,18.642,20.673,,,,,
17.281,17.615,17.507,18.629,18.090,18.628,18.655,20.680,,,,,
17.504,17.567,17.461,18.623,18.398,18.610,18.795,21.050,,,,,
17.459,17.521,17.842,18.566,18.367,18.460,19.398,20.977,,,,,
17.409,17.490,17.973,18.583,18.350,18.562,19.435,20.951,,,,,
17.395,17.781,18.757,18.657,18.429,18.542,19.390,21.011,,,,,
17.375,17.927,18.994,18.641,18.530,18.495,19.399,21.062,,,,,
17.696,18.114,,18.637,18.824,18.844,19.643,21.192,,,,,
18.033,18.944,,18.793,19.277,18.891,20.442,21.458,,,,,
18.522,19.089,,19.586,,19.170,,21.993,,,,,
