Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2.940,3.094,3.230,,,3.336,,3.549,3.638,,,,
2.820,3.345,3.117,3.250,3.413,3.374,3.432,3.279,3.653,,,,
2.846,3.349,3.035,3.060,3.421,3.368,3.161,3.310,3.523,,,,
2.828,3.366,3.037,3.060,3.450,3.461,3.137,3.335,3.498,,,,
2.744,2.854,2.884,3.047,3.408,3.259,3.113,3.919,3.452,,,,
2.754,2.951,2.908,3.094,3.480,3.225,3.129,3.231,3.325,,,,
2.777,2.911,2.919,3.100,3.394,3.226,3.151,3.187,3.402,,,,
2.777,2.893,2.943,3.112,3.370,3.215,3.065,3.134,3.419,,,,
2.795,2.838,2.920,3.170,3.374,3.215,3.085,3.144,3.442,,,,
2.743,2.849,2.897,3.047,3.357,3.241,3.015,3.174,3.421,,,,
2.731,2.884,2.911,3.087,3.374,3.239,3.044,3.187,3.597,,,,
2.747,2.890,2.935,3.134,3.398,3.201,3.232,3.212,3.630,,,,
2.764,2.885,2.934,3.041,3.384,3.211,3.239,3.213,3.659,,,,
2.789,2.854,2.955,3.063,3.319,3.217,3.254,3.181,3.815,,,,
2.832,2.856,2.971,3.063,3.275,3.233,3.014,3.193,,,,,
2.778,2.873,3.003,3.122,3.282,3.264,3.025,3.220,,,,,
2.742,2.894,3.024,3.249,3.224,3.290,3.031,3.167,,,,,
2.777,2.911,2.968,3.287,3.346,3.255,3.523,3.170,,,,,
2.786,2.908,2.948,3.309,3.374,3.218,3.460,3.197,,,,,
2.811,2.894,2.999,3.228,3.412,3.224,3.464,3.206,,,,,
2.828,2.898,3.025,3.240,3.331,3.302,3.497,3.170,,,,,
2.808,2.945,3.040,3.258,3.278,3.378,3.361,3.521,,,,,
2.731,2.930,2.998,3.409,3.138,3.384,3.342,3.527,,,,,
2.838,2.938,2.981,3.448,3.265,3.403,3.441,3.514,,,,,
2.856,2.941,3.045,3.468,3.274,3.221,3.788,3.524,,,,,
2.863,2.982,3.050,3.434,3.303,3.201,3.569,3.537,,,,,
2.881,2.907,3.124,3.430,3.366,3.208,3.570,3.614,,,,,
2.888,2.961,3.276,3.441,3.333,3.215,3.597,3.531,,,,,
2.909,2.986,,3.460,3.407,3.293,3.729,3.619,,,,,
2.952,3.191,,3.568,3.407,3.324,3.675,3.616,,,,,
3.277,3.285,,3.722,,3.552,,3.708,,,,,
