Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
11.191,11.090,11.527,,,11.694,,11.406,12.108,,,,
10.913,10.885,11.141,11.231,11.182,11.282,11.660,11.239,12.023,,,,
10.659,10.801,10.787,11.021,11.105,11.548,11.478,11.131,11.681,,,,
10.590,10.753,10.681,10.729,11.026,11.276,11.450,11.057,11.493,,,,
10.608,10.462,10.638,10.866,11.002,11.128,11.412,13.210,11.549,,,,
10.564,10.442,10.726,10.789,10.885,10.960,11.331,10.970,11.504,,,,
10.530,10.355,10.667,10.711,10.748,10.948,11.270,10.787,11.643,,,,
10.479,10.320,10.630,10.655,10.673,11.035,11.116,10.717,11.588,,,,
10.289,10.280,10.437,10.685,10.675,10.977,11.016,10.726,11.545,,,,
10.354,10.220,10.358,10.818,10.753,10.963,11.054,10.845,11.449,,,,
10.326,10.189,10.344,10.761,10.720,10.866,11.036,10.787,11.368,,,,
10.317,10.141,10.310,10.789,10.713,10.851,11.250,10.755,11.310,,,,
10.293,10.132,10.389,10.892,10.751,10.839,11.187,10.585,11.348,,,,
10.262,10.119,10.341,10.892,10.696,10.804,11.148,10.507,11.479,,,,
10.281,10.105,10.318,10.892,10.695,10.762,11.041,10.527,,,,,
10.269,10.062,10.281,10.801,10.735,10.734,10.986,10.513,,,,,
10.281,10.028,10.239,11.029,10.812,10.713,10.962,10.713,,,,,
10.187,9.998,10.192,10.933,10.773,10.541,11.050,10.664,,,,,
10.233,9.955,10.172,10.962,10.737,10.630,11.190,10.633,,,,,
10.179,9.954,10.322,10.953,10.657,10.604,11.099,10.648,,,,,
10.150,9.941,10.293,10.932,10.547,10.665,11.052,10.644,,,,,
10.138,9.970,10.266,10.907,10.590,10.970,10.958,10.553,,,,,
10.114,10.183,10.153,10.877,10.538,10.948,10.936,10.544,,,,,
10.238,10.128,10.131,10.832,10.713,10.910,10.975,11.051,,,,,
10.176,10.081,10.364,10.904,10.673,10.947,10.961,10.968,,,,,
10.120,10.014,10.505,10.954,10.628,11.081,11.141,10.931,,,,,
10.088,10.365,11.259,11.026,10.657,11.055,11.096,10.906,,,,,
10.062,10.463,11.346,10.998,10.824,11.000,11.079,10.857,,,,,
10.408,10.620,,10.975,11.017,11.274,11.071,11.147,,,,,
10.700,11.270,,11.013,11.470,11.292,11.575,11.432,,,,,
10.862,11.321,,11.578,,11.342,,12.091,,,,,
