Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2.659,2.793,2.687,2.703,,2.722,2.751,2.822,2.903,,,,
2.602,2.666,2.588,2.659,2.776,2.764,2.775,2.773,2.810,,,,
2.586,2.663,2.541,2.634,2.759,2.762,2.738,2.760,2.842,,,,
2.581,2.659,2.524,2.577,2.750,2.770,2.682,2.756,2.842,,,,
2.562,2.644,2.593,2.590,2.745,2.705,2.685,2.756,2.772,,,,
2.570,2.632,2.546,2.604,2.712,2.677,2.677,2.780,2.778,,,,
2.577,2.601,2.542,2.592,2.696,2.655,2.678,2.706,2.782,,,,
2.576,2.602,2.542,2.588,2.664,2.670,2.704,2.698,2.772,,,,
2.534,2.577,2.543,2.599,2.667,2.662,2.664,2.709,2.774,,,,
2.527,2.578,2.535,2.603,2.686,2.664,2.664,2.697,2.797,,,,
2.543,2.581,2.530,2.618,2.680,2.690,2.664,2.692,2.776,,,,
2.557,2.590,2.546,2.619,2.678,2.656,2.705,2.691,2.747,,,,
2.560,2.575,2.561,2.650,2.705,2.765,2.686,2.691,2.752,,,,
2.564,2.564,2.547,2.693,2.691,2.761,2.688,2.675,2.763,,,,
2.604,2.558,2.540,2.668,2.681,2.752,2.705,2.686,,,,,
2.605,2.557,2.535,2.692,2.681,2.744,2.696,2.695,,,,,
2.601,2.564,2.535,2.706,2.699,2.748,2.640,2.737,,,,,
2.609,2.570,2.568,2.717,2.686,2.752,2.684,2.732,,,,,
2.642,2.538,2.544,2.728,2.686,2.667,2.708,2.734,,,,,
2.641,2.518,2.563,2.737,2.688,2.651,2.698,2.737,,,,,
2.643,2.504,2.548,2.754,2.666,2.690,2.700,2.704,,,,,
2.626,2.497,2.549,2.754,2.658,2.722,2.748,2.704,,,,,
2.610,2.559,2.542,2.754,2.677,2.716,2.741,2.752,,,,,
2.610,2.545,2.563,2.756,2.706,2.715,2.709,2.832,,,,,
2.610,2.538,2.552,2.790,2.694,2.686,2.745,2.816,,,,,
2.653,2.542,2.582,2.767,2.695,2.710,2.812,2.813,,,,,
2.653,2.562,2.674,2.763,2.651,2.708,2.812,2.774,,,,,
2.663,2.554,2.698,2.768,2.662,2.704,2.855,2.807,,,,,
2.608,2.568,,2.774,2.702,2.722,2.791,2.823,,,,,
2.724,2.640,,2.791,2.789,2.716,2.876,2.854,,,,,
2.773,2.682,,2.899,,2.747,,2.908,,,,,
