Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
758,717,737,716,,710,710,728,766,,,,
756,717,735,715,868,872,712,730,765,,,,
753,717,736,716,867,872,708,730,766,,,,
751,717,736,716,867,871,710,730,765,,,,
750,717,733,716,868,870,707,730,805,,,,
750,733,734,716,868,867,707,729,805,,,,
750,735,734,716,870,868,707,737,804,,,,
749,735,734,717,872,868,707,738,804,,,,
749,734,732,716,874,867,707,737,804,,,,
753,734,733,715,875,866,707,737,804,,,,
746,734,732,715,875,866,710,745,806,,,,
746,734,717,715,875,867,710,745,808,,,,
745,732,723,868,876,710,710,745,808,,,,
745,731,723,870,873,710,710,748,809,,,,
746,732,723,867,872,710,706,773,,,,,
749,731,722,865,873,710,707,773,,,,,
747,731,722,865,874,709,703,774,,,,,
745,731,721,866,874,708,702,774,,,,,
744,736,715,865,874,708,702,773,,,,,
744,732,715,865,873,708,702,785,,,,,
744,735,715,864,873,710,702,786,,,,,
744,735,715,864,872,710,703,790,,,,,
744,735,715,864,872,710,701,753,,,,,
744,735,712,865,871,710,704,754,,,,,
744,735,713,863,871,710,704,754,,,,,
727,736,713,864,871,710,705,754,,,,,
727,740,718,865,871,710,705,759,,,,,
726,739,717,864,872,709,725,759,,,,,
717,737,,865,871,710,707,759,,,,,
718,736,,866,871,710,728,765,,,,,
717,737,,868,,710,,766,,,,,
