Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
3.417,3.510,3.424,3.419,,3.432,3.461,3.550,3.669,,,,
3.358,3.383,3.323,3.374,3.644,3.636,3.487,3.503,3.575,,,,
3.339,3.380,3.277,3.350,3.626,3.634,3.446,3.490,3.608,,,,
3.332,3.376,3.260,3.293,3.617,3.641,3.392,3.486,3.607,,,,
3.312,3.361,3.326,3.306,3.613,3.575,3.392,3.486,3.577,,,,
3.320,3.365,3.280,3.320,3.580,3.544,3.384,3.509,3.583,,,,
3.327,3.336,3.276,3.308,3.566,3.523,3.385,3.443,3.586,,,,
3.325,3.337,3.276,3.305,3.536,3.538,3.411,3.436,3.576,,,,
3.283,3.311,3.275,3.315,3.541,3.529,3.371,3.446,3.578,,,,
3.280,3.312,3.268,3.318,3.561,3.530,3.371,3.434,3.601,,,,
3.289,3.315,3.262,3.333,3.555,3.556,3.374,3.437,3.582,,,,
3.303,3.324,3.263,3.334,3.553,3.523,3.415,3.436,3.555,,,,
3.305,3.307,3.284,3.518,3.581,3.475,3.396,3.436,3.560,,,,
3.309,3.295,3.270,3.563,3.564,3.471,3.398,3.423,3.572,,,,
3.350,3.290,3.263,3.535,3.553,3.462,3.411,3.459,,,,,
3.354,3.288,3.257,3.557,3.554,3.454,3.403,3.468,,,,,
3.348,3.295,3.257,3.571,3.573,3.457,3.343,3.511,,,,,
3.354,3.301,3.289,3.583,3.560,3.460,3.386,3.506,,,,,
3.386,3.274,3.259,3.593,3.560,3.375,3.410,3.507,,,,,
3.385,3.250,3.278,3.602,3.561,3.359,3.400,3.522,,,,,
3.387,3.239,3.263,3.618,3.539,3.400,3.402,3.490,,,,,
3.370,3.232,3.264,3.618,3.530,3.432,3.451,3.494,,,,,
3.354,3.294,3.257,3.618,3.549,3.426,3.442,3.505,,,,,
3.354,3.280,3.275,3.621,3.577,3.425,3.413,3.586,,,,,
3.354,3.273,3.265,3.653,3.565,3.396,3.449,3.570,,,,,
3.380,3.278,3.295,3.631,3.566,3.420,3.517,3.567,,,,,
3.380,3.302,3.392,3.628,3.522,3.418,3.517,3.533,,,,,
3.389,3.293,3.415,3.632,3.534,3.413,3.580,3.566,,,,,
3.325,3.305,,3.639,3.573,3.432,3.498,3.582,,,,,
3.442,3.376,,3.657,3.660,3.426,3.604,3.619,,,,,
3.490,3.419,,3.767,,3.457,,3.674,,,,,
