Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
589,587,523,529,,540,532,542,570,,,,
548,543,498,547,589,560,545,545,576,,,,
560,551,502,544,588,568,539,556,558,,,,
572,558,509,512,598,598,508,559,571,,,,
541,558,577,511,603,565,522,564,536,,,,
551,569,507,521,588,558,524,586,546,,,,
563,574,507,521,588,555,532,536,540,,,,
575,579,512,526,549,539,542,532,541,,,,
540,544,522,531,544,543,504,547,548,,,,
524,552,518,526,554,550,504,543,561,,,,
528,562,519,536,558,561,521,548,550,,,,
529,576,524,536,563,544,534,553,528,,,,
539,551,520,532,568,552,536,553,540,,,,
551,546,518,554,570,556,542,530,534,,,,
562,526,520,534,561,549,568,544,,,,,
566,533,525,540,566,554,572,547,,,,,
558,544,532,541,550,561,518,568,,,,,
565,554,562,556,557,568,525,573,,,,,
584,516,533,573,564,534,532,579,,,,,
596,512,533,586,574,531,539,574,,,,,
606,515,536,605,557,534,546,552,,,,,
588,503,541,610,557,540,596,557,,,,,
566,510,545,616,575,542,556,565,,,,,
566,510,553,625,557,547,542,582,,,,,
566,512,537,650,558,527,547,581,,,,,
608,516,540,623,565,506,556,586,,,,,
608,521,527,603,533,509,556,554,,,,,
619,511,538,613,538,522,570,562,,,,,
569,531,,623,556,508,542,572,,,,,
581,516,,628,566,520,573,580,,,,,
582,528,,634,,534,,574,,,,,
