Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2.070,2.206,2.164,2.174,,2.182,2.219,2.280,2.333,,,,
2.054,2.123,2.090,2.112,2.187,2.204,2.230,2.228,2.234,,,,
2.026,2.112,2.039,2.090,2.171,2.194,2.199,2.204,2.284,,,,
2.009,2.101,2.015,2.065,2.152,2.172,2.174,2.197,2.271,,,,
2.021,2.086,2.016,2.079,2.142,2.140,2.163,2.192,2.236,,,,
2.019,2.063,2.039,2.083,2.124,2.119,2.153,2.194,2.232,,,,
2.014,2.027,2.035,2.071,2.108,2.100,2.146,2.170,2.242,,,,
2.001,2.023,2.030,2.062,2.115,2.131,2.162,2.166,2.231,,,,
1.994,2.033,2.021,2.068,2.123,2.119,2.160,2.162,2.226,,,,
2.003,2.026,2.017,2.077,2.132,2.114,2.160,2.154,2.236,,,,
2.015,2.019,2.011,2.082,2.122,2.129,2.143,2.144,2.226,,,,
2.028,2.014,2.022,2.083,2.115,2.112,2.171,2.138,2.219,,,,
2.021,2.024,2.041,2.118,2.137,2.213,2.150,2.138,2.212,,,,
2.013,2.018,2.029,2.139,2.121,2.205,2.146,2.145,2.229,,,,
2.042,2.032,2.020,2.134,2.120,2.203,2.137,2.142,,,,,
2.039,2.024,2.010,2152,2.115,2.190,2.124,2.148,,,,,
2.043,2.020,2.003,2.165,2.149,2.187,2.122,2.169,,,,,
2.044,2.016,2.006,2.161,2.129,2.184,2.159,2.159,,,,,
2.058,2.022,2.011,2.155,2.122,2.133,2.176,2.155,,,,,
2.045,2.006,2.030,2.151,2.114,2.120,2.159,2.163,,,,,
2.037,1.989,2.012,2.149,2.109,2.156,2.154,2.152,,,,,
2.038,1.994,2.008,2.144,2.101,2.182,2.152,2.147,,,,,
2.044,2.049,1.997,2.138,2.102,2.174,2.185,2.187,,,,,
2.044,2.035,2.010,2.131,2.149,2.168,2.167,2.250,,,,,
2.044,2.026,2.015,2.140,2.136,2.159,2.198,2.235,,,,,
2.045,2.026,2.042,2.144,2.130,2.204,2.256,2.227,,,,,
2.045,2.041,2.147,2.160,2.118,2.199,2.256,2.220,,,,,
2.044,2.043,2.160,2.155,2.124,2.182,2.285,2.245,,,,,
2.039,2.037,,2.151,2.146,2.214,2.249,2.251,,,,,
2.143,2.124,,2.163,2.223,2.196,2.303,2.274,,,,,
2.191,2.154,,2.265,,2.213,,2.334,,,,,
