Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
39.383,39.881,40.111,39.884,40.794,40.937,41.028,41.481,42.418,,,,
38.915,39.628,39.429,39.625,40.275,40.807,41.382,40.992,42.282,,,,
38.665,39.459,38.849,39.150,40.100,40.735,41.125,40.880,41.654,,,,
38.586,39.335,38.695,38.781,39.948,40.437,40.984,40.775,41.418,,,,
38.549,38.522,38.570,39.113,39.828,39.999,40.847,40.619,41.322,,,,
38.467,38.551,38.931,39.279,39.715,39.804,40.704,40.446,41.179,,,,
38.393,38.351,38.749,39.205,39.464,39.817,40.612,40.727,41.470,,,,
38.349,38.300,38.615,39.053,39.351,40.041,40.413,39.957,41.374,,,,
38.089,38.264,38.411,39.177,39.406,39.994,40.283,39.995,41.299,,,,
38.139,38.130,38.294,39.263,39.587,39.928,40.232,40.201,41.232,,,,
38.099,38.061,38.638,39.249,39.543,39.800,40.247,40.081,41.287,,,,
38.164,38.031,38.433,39.367,39.507,39.712,40.763,40.015,41.261,,,,
38.102,37.943,38.459,39.547,39.522,39.772,40.647,39.780,41.336,,,,
38.038,37.899,38.377,39.555,39.386,39.733,40.548,39.626,41.930,,,,
38.342,37.894,38.232,39.443,39.339,39.895,40.169,39.640,,,,,
38.230,37.741,38.081,39.555,39.432,39.763,39.961,39.638,,,,,
38.211,37.687,37.951,40.022,39.589,39.690,39.847,39.876,,,,,
38.133,37.605,37.840,39.941,39.548,39.435,40.600,39.794,,,,,
38.285,37.547,37.786,39.857,39.484,39.390,40.751,39.722,,,,,
38.169,37.425,37.953,39.758,39.373,39.315,40.556,39.652,,,,,
38.084,37.372,37.894,39.725,39.143,39.480,40.472,39.553,,,,,
38.052,37.449,37.800,39.659,39.114,40.226,40.566,39.862,,,,,
37.973,37.920,37.648,39.588,38.945,40.110,40.564,39.909,,,,,
38.362,37.823,37.606,39.466,39.449,40.014,40.299,40.763,,,,,
38.139,37.585,37.895,39.292,39.292,39.826,40.696,40.514,,,,,
38.041,37.597,38.123,39.593,39.245,40.094,40.828,40.440,,,,,
38.027,37.936,39.235,39.731,39.284,40.079,40.789,40.429,,,,,
37.989,38.150,39.683,39.736,39.475,39.935,40.768,40.377,,,,,
38.317,38.387,,40.429,39.800,40.429,40.914,40.794,,,,,
38.918,39.489,,40.063,40.587,40.635,41.689,41.171,,,,,
39.698,39.823,,40.978,,40.963,,42.271,,,,,
