Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
8.516,8.336,8.449,8.241,8.302,8.439,8.159,9.210,10.214,,,,
8.251,8.314,8.503,8.173,8.300,8.435,8.113,9.290,10.214,,,,
8.594,8.314,8.496,8.163,8.298,8.559,8.089,9.390,10.196,,,,
8.595,8.315,8.491,8.157,8.300,8.419,8.084,9.386,10.296,,,,
8.577,8.313,8.481,8.101,8.299,8.429,8.054,9.386,10.344,,,,
8.578,8.422,8.493,8.104,8.299,8.439,8.055,9.389,10.447,,,,
8.577,8.432,8.489,8.105,8.324,8.435,8.056,9.578,10.468,,,,
8.559,8.422,8.487,8.104,8.324,8.537,8.057,9.691,10.466,,,,
8.569,8.435,8.468,8.022,8.440,8.535,8.061,9.814,10.465,,,,
8.573,8.432,8.452,8.022,8.439,8.534,8.064,9.862,10.470,,,,
8.533,8.431,8.249,7.997,8.439,8.535,8.070,9.860,10.460,,,,
8.560,8.466,8.230,8.006,8.437,8.534,8.071,9.860,10.456,,,,
8.559,8.438,8.178,8.151,8.438,8.376,8.070,10.023,10.568,,,,
8.559,8.433,8.179,8.148,8.434,8.374,8.071,10.098,10.613,,,,
8.475,8.404,8.178,8.149,8.534,8.375,8.073,10.231,,,,,
8.474,8.403,8.177,8.127,8.535,8.377,8.075,10.331,,,,,
8.456,8.401,8.177,8.329,8.526,8.375,8.072,10.424,,,,,
8.482,8.396,8.192,8.330,8.527,8.279,8.073,10.425,,,,,
8.481,8.428,8.184,8.326,8.526,8.219,8.207,10.423,,,,,
8.482,8.464,8.235,8.327,8.508,8.204,8.207,10.440,,,,,
8.480,8.468,8.234,8.327,8.512,8.202,8.206,10.503,,,,,
8.460,8.469,8.233,8.325,8.449,8.175,8.427,10.622,,,,,
8.450,8.730,8.238,8.325,8.454,8.174,8.427,10.662,,,,,
8.400,8.456,8.229,8.325,8.464,8.175,8.274,10.464,,,,,
8.396,8.454,8.313,8.464,8.464,8.171,8.542,10.464,,,,,
8.394,8.454,8.286,8.171,8.464,8.160,8.621,10.462,,,,,
8.394,8.473,8.248,8.179,8.446,8.157,8.620,10.474,,,,,
8.392,8.464,8.240,8.179,8.412,8.156,8.618,10.655,,,,,
8.337,8.466,,8.154,8.442,8.154,8.744,10.405,,,,,
8.340,8.451,,8.179,8.437,8.152,9.128,10.392,,,,,
8.337,8.450,,8.299,,8.158,,10.177,,,,,
