Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
47.899,48.217,48.560,48.125,49.096,49.376,49.187,50.691,52.632,,,,
47.166,47.942,47.932,47.798,48.575,49.242,49.495,50.282,52.496,,,,
47.259,47.773,47.345,47.313,48.398,49.294,49.214,50.270,51.850,,,,
47.181,47.650,47.186,46.938,48.248,48.856,49.068,50.161,51.714,,,,
47.126,46.835,47.051,47.214,48.127,48.428,48.901,50.005,51.666,,,,
47.045,46.973,47.424,47.383,48.014,48.243,48.759,49.835,51.626,,,,
46.970,46.783,47.238,47.310,47.788,48.252,48.668,50.305,51.938,,,,
46.908,46.722,47.102,47.157,47.675,48.578,48.470,49.648,51.840,,,,
46.658,46.699,46.879,47.199,47.846,48.529,48.344,49.809,51.764,,,,
46.712,46.562,46.746,47.285,48.026,48.462,48.296,50.063,51.702,,,,
46.632,46.492,46.887,47.246,47.982,48.335,48.317,49.941,51.747,,,,
46.724,46.497,46.663,47.373,47.944,48.246,48.834,49.875,51.717,,,,
46.661,46.381,46.637,47.698,47.960,48.148,48.717,49.803,51.904,,,,
46.597,46.332,46.556,47.703,47.820,48.107,48.619,49.724,52.543,,,,
46.817,46.298,46.410,47.592,47.873,48.270,48.242,49.871,,,,,
46.704,46.144,46.258,47.682,47.967,48.140,48.036,49.969,,,,,
46.667,46.088,46.128,48.351,48.115,48.065,47.919,50.300,,,,,
46.615,46.001,46.032,48.271,48.075,47.714,48.673,50.219,,,,,
46.766,45.975,45.970,48.183,48.010,47.609,48.958,50.145,,,,,
46.651,45.889,46.188,48.085,47.881,47.519,48.763,50.092,,,,,
46.564,45.840,46.128,48.052,47.655,47.682,48.678,50.056,,,,,
46.512,45.918,46.033,47.984,47.563,48.401,48.993,50.484,,,,,
46.423,46.650,45.886,47.913,47.399,48.284,48.991,50.571,,,,,
46.762,46.279,45.835,47.791,47.913,48.189,48.573,51.227,,,,,
46.535,46.039,46.208,47.756,47.756,47.997,49.238,50.978,,,,,
46.435,46.051,46.409,47.764,47.709,48.254,49.449,50.902,,,,,
46.421,46.409,47.483,47.910,47.730,48.236,49.409,50.903,,,,,
46.381,46.614,47.923,47.915,47.887,48.091,49.386,51.032,,,,,
46.654,46.853,,48.583,48.242,48.583,49.658,51.199,,,,,
47.258,47.940,,48.242,49.024,48.787,50.817,51.563,,,,,
48.035,48.273,,49.277,,49.121,,52.448,,,,,
