Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
3.551,3.699,3.777,3.719,4.200,3.906,3.917,4.157,4.308,,,,
3.390,3.907,3.639,3.814,4.017,3.917,3.996,3.889,4.329,,,,
3.429,3.918,3.552,3.621,4.024,3.982,3.718,3.932,4.179,,,,
3.423,3.942,3.562,3.598,4.062,4.044,3.662,3.961,4.166,,,,
3.308,3.430,3.477,3.585,4.086,3.835,3.656,3.983,4.084,,,,
3.329,3.539,3.431,3.642,4.084,3.804,3.674,3.880,3.967,,,,
3.364,3.505,3.442,3.648,3.997,3.802,3.703,3.802,4.040,,,,
3.375,3.492,3.471,3.664,3.934,3.775,3.627,3.743,4.057,,,,
3.358,3.404,3.459,3.729,3.933,3.780,3.608,3.768,4.085,,,,
3.290,3.422,3.431,3.586,3.927,3.812,3.535,3.795,4.077,,,,
3.273,3.468,3.445,3.637,3.947,3.820,3.584,3.812,4.240,,,,
3.290,3.489,3.465,3.683,3.977,3.763,3.783,3.844,4.303,,,,
3.317,3.460,3.459,3.586,3.963,3.782,3.792,3.857,4.343,,,,
3.354,3.420,3.479,3.607,3.901,3.792,3.812,3.786,4.496,,,,
3.404,3.404,3.497,3.635,3.849,3.801,3.601,3.811,,,,,
3.354,3.430,3.534,3.672,3.859,3.837,3.617,3.840,,,,,
3.309,3.462,3.562,3.800,3.887,3.870,3.570,3.809,,,,,
3.353,3.491,3.536,3.854,3.916,3.843,4.069,3.817,,,,,
3.381,3.450,3.487,3.892,3.951,3.769,4.018,3.850,,,,,
3.418,3.430,3.538,3.942,4.000,3.772,4.030,3.855,,,,,
3.446,3.436,3.567,3.973,3.902,3.854,4.067,3.793,,,,,
3.409,3.471,3.587,3.997,3.849,3.938,4.288,4.170,,,,,
3.307,3.463,3.548,4.037,3.719,3.946,4.288,4.184,,,,,
3.442,3.470,3.539,4.083,3.837,3.970,4.008,4.191,,,,,
3.474,3.477,3.588,3.847,3.847,3.766,4.367,4.199,,,,,
3.490,3.521,3.606,4.068,3.884,3.729,4.164,4.217,,,,,
3.521,3.451,3.668,4.044,3.914,3.739,4.168,4.262,,,,,
3.539,3.495,3.831,4.065,3.885,3.760,4.202,4.185,,,,,
3.499,3.553,,3.822,3.980,3.822,4.311,4.289,,,,,
3.554,3.731,,4.211,3.982,3.864,4.311,4.296,,,,,
3.878,3.837,,4.371,,4.108,,4.384,,,,,
