Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
35.832,36.182,36.334,36.165,36.594,37.031,37.111,37.324,38.110,,,,
35.525,35.721,35.790,35.811,36.258,36.890,37.386,37.103,37.953,,,,
35.236,35.541,35.297,35.529,36.076,36.753,37.407,36.948,37.475,,,,
35.163,35.393,35.133,35.183,35.886,36.393,37.322,36.814,37.252,,,,
35.241,35.092,35.093,35.528,35.742,36.164,37.191,36.636,37.238,,,,
35.138,35.012,35.500,35.637,35.631,36.000,37.030,36.566,37.212,,,,
35.029,34.846,35.307,35.557,35.467,36.015,36.909,36.925,37.430,,,,
34.974,34.808,35.144,35.389,35.417,36.266,36.786,36.214,37.317,,,,
34.731,34.860,34.952,35.448,35.473,36.214,36.675,36.227,37.214,,,,
34.849,34.708,34.863,35.677,35.660,36.116,36.697,36.406,37.155,,,,
34.826,34.593,35.193,35.612,35.596,35.980,36.663,36.269,37.047,,,,
34.874,34.542,34.968,35.684,35.530,35.949,36.980,36.171,36.958,,,,
34.785,34.483,35.000,35.961,35.559,35.990,36.855,35.923,36.993,,,,
34.684,34.479,34.898,35.948,35.485,35.941,36.736,35.840,37.434,,,,
34.938,34.490,34.735,35.808,35.490,36.094,36.568,35.829,,,,,
34.876,34.311,34.547,35.883,35.573,35.926,36.344,35.798,,,,,
34.902,34.225,34.389,36.222,35.702,35.820,36.277,36.067,,,,,
34.780,34.114,34.304,36.087,35.632,35.592,36.531,35.977,,,,,
34.904,34.097,34.299,35.965,35.533,35.621,36.733,35.872,,,,,
34.751,33.995,34.415,35.816,35.373,35.543,36.526,35.797,,,,,
34.638,33.936,34.327,35.752,35.241,35.626,36.405,35.760,,,,,
34.643,33.978,34.213,35.662,35.265,36.288,36.278,35.692,,,,,
34.666,34.457,34.100,35.551,35.226,36.164,36.276,35.725,,,,,
34.920,34.353,34.067,35.383,35.612,36.044,36.291,36.572,,,,,
34.665,34.108,34.307,35.445,35.445,36.060,36.329,36.315,,,,,
34.551,34.076,34.517,35.525,35.361,36.365,36.664,36.223,,,,,
34.506,34.485,35.567,35.687,35.370,36.340,36.621,36.167,,,,,
34.450,34.655,35.852,35.671,35.590,36.175,36.566,36.192,,,,,
34.818,34.834,,36.607,35.820,36.607,36.603,36.505,,,,,
35.364,35.758,,35.852,36.605,36.771,37.378,36.875,,,,,
35.820,35.986,,36.607,,36.855,,37.887,,,,,
