Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
22.465,22.905,22.666,22.512,22.892,23.128,,,23.769,,,,
22.465,22.779,22.584,22.485,22.905,23.092,23.515,23.701,23.706,,,,
22.574,22.693,22.485,22.434,22.815,23.022,23.749,23.680,23.609,,,,
22.586,22.604,22.452,22.406,22.724,22.957,23.716,23.626,23.583,,,,
22.636,22.563,22.456,22.611,22.614,22.909,23.637,23.492,23.550,,,,
22.579,22.526,22.751,22.792,22.638,22.940,23.566,23.465,23.572,,,,
22.508,22.485,22.621,22.801,22.626,22.986,23.513,23.417,23.644,,,,
22.518,22.485,22.500,22.699,22.644,23.121,23.528,23.409,23.595,,,,
22.473,22.568,22.511,22.722,22.691,23.140,23.519,23.417,23.541,,,,
22.515,22.482,22.504,22.795,22.791,23.060,23.519,23.485,23.565,,,,
22.499,22.406,22.854,22.781,22.846,23.004,23.504,23.416,23.547,,,,
22.543,22.409,22.641,22.824,22.718,23.005,23.575,23.355,23.575,,,,
22.484,22.350,22.574,22.965,22.683,22.956,23.535,23.277,23.576,,,,
22.423,22.361,22.533,23.014,22.680,23.011,23.458,23.263,23.872,,,,
22.626,22.376,22.403,22.892,22.685,23.148,23.410,23.235,,,,,
22.578,22.249,22.262,22.939,22.754,23.021,23.255,23.210,,,,,
22.589,22.202,22.153,23.038,22.755,22.939,23.213,23.261,,,,,
22.560,22.124,22.111,22.944,22.743,22.939,23.213,23.227,,,,,
22.624,22.145,22.122,22.858,22.687,22.875,23.392,23.227,,,,,
22.537,22.060,22.070,22.722,22.615,22.835,23.294,23.059,,,,,
22.461,22.028,22.028,22.681,22.600,22.823,23.225,23.036,,,,,
22.480,22.037,21.945,22.621,22.588,23.157,23.194,22.684,,,,,
22.519,22.248,21.956,22.547,22.600,23.062,23.180,23.086,,,,,
22.646,22.213,21.930,22.431,22.766,22.986,23.175,23.365,,,,,
22.461,22.087,21.934,22.431,22.651,22.971,23.201,23.207,,,,,
22.411,22.058,21.986,22.257,22.619,23.103,23.208,23.158,,,,,
22.404,22.101,22.178,22.512,22.609,23.108,23.311,23.135,,,,,
22.374,22.172,22.363,22.529,22.557,23.005,23.280,23.183,,,,,
22.392,22.214,,22.464,22.672,23.140,23.321,23.206,,,,,
22.542,21.612,,22.474,22.925,23.302,23.563,23.270,,,,,
22.786,22.536,,22.778,,23.322,,23.563,,,,,
