Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
3.290,3.236,3.229,3.227,3.145,3.171,,,3.218,,,,
3.290,3.236,3.226,3.143,3.151,3.170,3.165,3.222,3.259,,,,
3.285,3.236,3.223,3.141,3.151,3.170,3.168,3.227,3.216,,,,
3.284,3.237,3.214,3.139,3.152,3.166,3.169,3.226,3.215,,,,
3.283,3.238,3.211,3.128,3.150,3.165,3.166,3.225,3.217,,,,
3.283,3.237,3.209,3.124,3.144,3.168,3.166,3.226,3.219,,,,
3.281,3.240,3.206,3.124,3.145,3.168,3.166,3.235,3.217,,,,
3.280,3.243,3.206,3.123,3.149,3.169,3.165,3.234,3.217,,,,
3.283,3.246,3.196,3.119,3.149,3.169,3.166,3.236,3.217,,,,
3.285,3.245,3.195,3.121,3.150,3.168,3.166,3.238,3.213,,,,
3.284,3.244,3.197,3.116,3.150,3.172,3.177,3.238,3.215,,,,
3.282,3.240,3.195,3.115,3.150,3.174,3.176,3.237,3.217,,,,
3.282,3.242,3.187,3.117,3.152,3.175,3.176,3.230,3.219,,,,
3.282,3.239,3.188,3.116,3.151,3.237,3.176,3.227,3.222,,,,
3.277,3.240,3.188,3.117,3.152,3.174,3.174,3.236,,,,,
3.276,3.240,3.186,3.118,3.154,3.174,3.176,3.237,,,,,
3.274,3.239,3.185,3.119,3.154,3.172,3.178,3.232,,,,,
3.273,3.238,3.172,3.120,3.155,3.172,3.178,3.234,,,,,
3.272,3.229,3.171,3.117,3.155,3.166,3.182,3.234,,,,,
3.272,3.230,3.169,3.118,3.158,3.166,3.183,3.226,,,,,
3.271,3.228,3.168,3.118,3.164,3.164,3.182,3.228,,,,,
3.268,3.227,3.168,3.117,3.166,3.168,3.186,3.233,,,,,
3.270,3.221,3.167,3.117,3.167,3.168,3.189,3.235,,,,,
3.245,3.221,3.168,3.117,3.172,3.168,3.189,3.225,,,,,
3.242,3.221,3.167,3.111,3.172,3.169,3.189,3.225,,,,,
3.241,3.225,3.155,3.112,3.171,3.170,3.191,3.225,,,,,
3.241,3.224,3.155,3.113,3.168,3.168,3.191,3.224,,,,,
3.241,3.222,3.151,3.112,3.166,3.237,3.190,3.222,,,,,
3.241,3.222,,3.113,3.171,3.167,3.194,3.219,,,,,
3.242,3.231,,3.121,3.170,3.167,3.208,3.216,,,,,
3.237,3.230,,3.145,,3.171,,3.218,,,,,
