Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
25.755,26.141,25.895,25.739,26.037,26.299,,,26.987,,,,
25.755,26.015,25.810,25.628,26.056,26.262,26.680,26.923,26.965,,,,
25.859,25.929,25.708,25.575,25.966,26.192,26.917,26.907,26.825,,,,
25.870,25.841,25.666,25.545,25.876,26.123,26.885,26.852,26.798,,,,
25.919,25.801,25.667,25.739,25.764,26.074,26.803,26.717,26.767,,,,
25.862,25.763,25.960,25.916,25.782,26.108,26.732,26.691,26.791,,,,
25.789,25.725,25.827,25.925,25.771,26.154,26.679,26.652,26.861,,,,
25.798,25.728,25.706,25.822,25.793,26.290,26.693,26.643,26.812,,,,
25.756,25.814,25.707,25.841,25.840,26.309,26.685,26.653,26.758,,,,
25.800,25.727,25.699,25.916,25.941,26.228,26.685,26.723,26.778,,,,
25.783,25.650,26.051,25.897,25.996,26.176,26.681,26.654,26.762,,,,
25.825,25.649,25.836,25.939,25.868,26.179,26.751,26.592,26.792,,,,
25.766,25.592,25.761,26.082,25.835,26.131,26.711,26.507,26.795,,,,
25.705,25.600,25.721,26.130,25.831,26.248,26.634,26.490,27.094,,,,
25.903,25.616,25.591,26.009,25.837,26.322,26.584,26.471,,,,,
25.854,25.489,25.448,26.057,25.908,26.195,26.431,26.447,,,,,
25.863,25.441,25.338,26.157,25.909,26.111,26.391,26.493,,,,,
25.833,25.362,25.283,26.064,25.898,26.111,26.391,26.461,,,,,
25.896,25.374,25.293,25.975,25.842,26.041,26.574,26.461,,,,,
25.809,25.290,25.239,25.840,25.773,26.001,26.477,26.285,,,,,
25.732,25.256,25.196,25.799,25.764,25.987,26.407,26.264,,,,,
25.748,25.264,25.113,25.738,25.754,26.325,26.380,25.917,,,,,
25.789,25.469,25.123,25.664,25.767,26.230,26.369,26.321,,,,,
25.891,25.434,25.098,25.548,25.938,26.154,26.364,26.590,,,,,
25.703,25.308,25.101,25.542,25.823,26.140,26.390,26.432,,,,,
25.652,25.283,25.141,25.369,25.790,26.273,26.399,26.383,,,,,
25.645,25.325,25.333,25.625,25.777,26.276,26.502,26.359,,,,,
25.615,25.394,25.515,25.641,25.723,26.242,26.470,26.405,,,,,
25.633,25.436,,25.577,25.843,26.307,26.515,26.425,,,,,
25.784,24.843,,25.595,26.095,26.469,26.771,26.486,,,,,
26.023,25.766,,25.923,,26.493,,26.781,,,,,
