Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
25,18,24,11,15,13,,,101,,,,
25,19,25,16,15,13,19,65,100,,,,
24,18,15,17,15,12,18,67,98,,,,
23,18,16,17,15,12,17,66,96,,,,
24,18,17,27,15,12,21,65,96,,,,
24,19,16,27,16,20,20,63,96,,,,
24,20,16,27,15,20,20,79,98,,,,
24,21,16,27,15,21,19,78,97,,,,
24,22,17,27,16,21,19,77,97,,,,
23,21,16,12,16,21,19,78,95,,,,
14,22,15,13,16,20,19,78,94,,,,
14,23,6,12,16,19,17,78,146,,,,
14,24,5,14,12,19,17,77,144,,,,
14,19,6,11,12,13,16,75,146,,,,
10,23,6,11,11,19,19,75,,,,,
10,24,6,10,11,19,20,73,,,,,
10,25,6,10,13,19,20,75,,,,,
11,25,6,10,13,19,20,74,,,,,
12,25,6,10,13,17,26,74,,,,,
11,25,7,10,13,17,26,74,,,,,
11,23,6,10,14,18,25,72,,,,,
13,23,6,10,14,21,25,92,,,,,
11,23,5,11,14,20,25,92,,,,,
32,23,5,11,15,20,25,94,,,,,
32,23,6,11,15,17,32,94,,,,,
32,23,16,10,15,22,39,93,,,,,
31,23,17,11,15,22,38,94,,,,,
31,23,17,11,14,13,38,92,,,,,
21,36,,11,16,20,39,99,,,,,
21,28,,14,13,20,63,100,,,,,
19,25,,15,,22,,102,,,,,
