Des-2025,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
22.440,22.887,22.642,22.501,22.877,23.115,,,23.668,,,,
22.440,22.760,22.559,22.469,22.890,23.079,23.496,23.636,23.606,,,,
22.550,22.675,22.470,22.417,22.800,23.010,23.731,23.613,23.511,,,,
22.563,22.586,22.436,22.389,22.709,22.945,23.699,23.560,23.487,,,,
22.612,22.545,22.439,22.584,22.599,22.897,23.616,23.427,23.454,,,,
22.555,22.507,22.735,22.765,22.622,22.920,23.546,23.402,23.476,,,,
22.484,22.465,22.605,22.774,22.611,22.966,23.493,23.338,23.546,,,,
22.494,22.464,22.484,22.672,22.629,23.100,23.509,23.331,23.498,,,,
22.449,22.546,22.494,22.695,22.675,23.119,23.500,23.340,23.444,,,,
22.492,22.461,22.488,22.783,22.775,23.039,23.500,23.407,23.470,,,,
22.485,22.384,22.839,22.768,22.830,22.984,23.485,23.338,23.453,,,,
22.529,22.386,22.635,22.812,22.702,22.986,23.558,23.277,23.429,,,,
22.470,22.326,22.569,22.951,22.671,22.937,23.518,23.200,23.432,,,,
22.409,22.342,22.527,23.003,22.668,22.998,23.442,23.188,23.726,,,,
22.616,22.353,22.397,22.881,22.674,23.129,23.391,23.160,,,,,
22.568,22.225,22.256,22.929,22.743,23.002,23.235,23.137,,,,,
22.579,22.177,22.147,23.028,22.742,22.920,23.193,23.186,,,,,
22.549,22.099,22.105,22.934,22.730,22.920,23.193,23.153,,,,,
22.612,22.120,22.116,22.848,22.674,22.858,23.366,23.153,,,,,
22.526,22.035,22.063,22.712,22.602,22.818,23.268,22.985,,,,,
22.450,22.005,22.022,22.671,22.586,22.805,23.200,22.964,,,,,
22.467,22.014,21.939,22.611,22.574,23.136,23.169,22.592,,,,,
22.508,22.225,21.951,22.536,22.586,23.042,23.155,22.994,,,,,
22.614,22.190,21.925,22.420,22.751,22.966,23.150,23.271,,,,,
22.429,22.064,21.928,22.420,22.636,22.954,23.169,23.113,,,,,
22.379,22.035,21.970,22.247,22.604,23.081,23.169,23.065,,,,,
22.373,22.078,22.161,22.501,22.594,23.086,23.273,23.041,,,,,
22.343,22.149,22.346,22.518,22.543,22.992,23.242,23.091,,,,,
22.371,22.178,,22.453,22.656,23.120,23.282,23.107,,,,,
22.521,21.584,,22.460,22.912,23.282,23.500,23.170,,,,,
22.767,22.511,,22.763,,23.300,,23.461,,,,,
